News Source,AllSides Bias Rating
Karol Markowicz,Right
Philip Klein,Lean Right
The Conversation Contributor,Lean Left
The Fulcrum Contributor,Center
USA Today Contributor,Lean Left
12 News Now KBMT,Center
12News,Center
1819 News,Lean Right
27 East,Center
4029 News,Center
538 (ABC News),Center
9 & 10 News,Center
A Project for America,Center
Aaron Kohrs,Center
Aaron Rupar,Left
Aaron Sibarium,Lean Right
Aaron Withe,Right
AARP,Center
ABC 11 WTVD,Center
ABC 12,Center
ABC 13 WTVG,Center
ABC 15 Arizona,Center
ABC 16 WAPT,Center
ABC 25 KXXV,Center
ABC 27 WHTM,Center
ABC 27 WKOW,Center
ABC 4 WTAE,Center
ABC 47 WMDT,Center
ABC 5 NEWS,Center
ABC 57,Center
ABC 6,Center
ABC 6 KAAL,Center
ABC 6 WPVI,Center
ABC 7 Chicago,Center
ABC 7 KETV,Center
ABC 7 KVIA,Center
ABC 7 New York,Center
ABC 7 WXYZ,Center
ABC 8 KLKN,Center
ABC 8 WRIC,Center
ABC 9 WMUR,Center
ABC News (Online),Lean Left
ABC News 10 Vermont,Center
ABC13 Houston,Center
ABC4 Utah,Center
Aberdeen News,Center
Above The Law,Lean Left
Accuracy in Media,Right
ACLU,Lean Left
Action News Jax,Center
Adam Brandon,Center
Adam Serwer,Left
Addison County Independent,Center
Adventist Today,Lean Left
Advocate,Lean Left
AframNews,Left
African American Conservatives,Right
African American Intellectual History Society,Left
Afro,Left
Aidanne DePoy,Left
Aiken Standard,Center
AJ+,Left
Akron Beacon Journal,Center
Al Cardenas,Right
Al Jazeera,Lean Left
AL.com,Center
Alabama News Center,Center
Alabama News Network,Center
Alabama Political Reporter,Lean Left
Alamosa News,Center
Alan Dershowitz,Lean Right
Alan Z. Rozenshtein,Lean Left
Alaska Beacon,Center
Alaska Commons,Center
Alaska Native News,Center
Alaska Public Media,Center
Alaska Watchman,Right
Alaska's News Source KTUU/KYES,Center
Albany Democrat-Herald,Center
Albert Lea Tribune,Center
Albert Mohler,Center
Albuquerque Journal,Center
Alex Pareene,Lean Left
Alice Giordano,Lean Right
Alice Sheehan,Lean Left
All About Arizona News,Center
Alleghany News,Center
Alliance for Trade Enforcement,Center
Allysia Finley (Wall Street Journal),Lean Right
Alpha News,Right
AlterNet,Left
Alyssa Milano,Left
Amarillo Globe-News,Center
America's 1st Freedom,Lean Right
American Conservation Coalition,Lean Right
American Conservative Union,Right
American Enterprise Institute,Lean Right
American Greatness,Right
American Press,Lean Left
American Psychological Association,Center
American Thinker,Right
American Values Coalition,Center
Americans for Democratic Action,Left
Americans for Tax Reform,Right
Ammo.com,Right
Amnesty International,Lean Left
Ana Marie Cox,Lean Left
Anand Giridharadas,Left
Anchorage Daily News,Center
Anchorage Press,Center
Anderson Cooper,Lean Left
Anderson Independent-Mail,Center
Andreas Raduege,Left
Andrew C. McCarthy,Right
Andrew Feinberg,Lean Left
Andrew Giuliani,Lean Right
Andrew Malcolm,Right
Andrew Napolitano,Right
Andrew Shannon,Left
Andrew Stuttaford,Lean Right
Andrew Sullivan,Center
Andrew Weinzierl,Lean Left
Andrew Yang,Lean Left
Andy Gorel,Center
Andy Meek,Lean Left
Andy Ngo,Lean Right
Andy Stanley,Center
Ann Coulter,Right
Annafi Wahed,Lean Left
Anne Applebaum,Center
Anthony LaMesa,Center
Antonio Ferme,Center
Antony Blinken,Lean Left
AP-NORC,Center
Apple News,Lean Left
April Gardner,Center
Aquinas College Saint,Left
Arc Digital,Center
Argus Leader,Center
Ari Hoffman,Right
Arizona Daily Star: tucson.com,Center
Arizona Mirror,Center
Arizona's Family,Center
Ark Valley Voice,Center
Arkadi Gerney,Lean Left
Arkansas Business,Center
Arkansas Democrat-Gazette,Left
Arkansas Times,Left
Armond White,Right
Armstrong Williams,Lean Right
Ars Technica,Center
Asbury Park Press,Center
Ashley Baker,Lean Right
Associated Press,Lean Left
Associated Press Fact Check,Lean Left
Association for Psychological Science,Center
Atlanta Black Star,Lean Left
Atlanta Journal-Constitution,Lean Left
Atlas Network,Right
AtlasOne,Lean Right
Attitude Magazine,Lean Left
Augusta Free Press,Lean Left
Austin American-Statesman,Center
Austin American-Statesman,Lean Left
Austin Daily Herald,Center
Avanti Giridharan,Center
Avenue News,Center
Avoyelles Journal,Center
Axios,Lean Left
AZ Central,Center
Babylon Bee (Humor),Lean Right
Ballotpedia,Center
Baltimore Sun,Center
Bangor Daily News,Lean Left
Baptist News Global,Lean Left
Baptist Press,Center
Baptist Standard,Center
Bari Weiss,Center
Barnstable Patriot,Center
Barron's,Center
Bartlesville Examiner-Enterprise,Center
Bay to Bay News,Center
BBC News,Center
Bearing Drift,Right
Beaumont Enterprise,Center
Beaver County Times,Center
Becket Adams,Right
Bella Jasper,Lean Left
Belleville News-Democrat,Center
Ben Sargent (cartoonist),Left
Ben Shapiro,Right
Ben Stein,Lean Right
Benenson Strategy Group,Lean Left
Bergen Record (northjersey.com),Lean Left
Bernie Goldberg,Lean Right
Berny Belvedere,Left
BET,Lean Left
