News Source,AllSides Bias Rating
ABC News (Online),Lean Left
AlterNet,Left
Associated Press,Left
Associated Press Fact Check,Lean Left
Axios,Lean Left
BBC News,Center
Bloomberg,Lean Left
Breitbart News,Right
Business Insider,Lean Left
BuzzFeed News,Left
CBS News (Online),Lean Left
Christian Science Monitor,Center
CNN Digital,Lean Left
Daily Beast,Left
Daily Mail,Right
Democracy Now!,Left
Forbes,Center
Fox News (Opinion),Right
Fox News Digital,Right
HuffPost,Left
Mother Jones,Left
MSNBC,Left
National Review (News),Lean Right
National Review (Opinion),Right
NBC News Digital,Lean Left
New York Post (News),Lean Right
New York Times (News),Lean Left
New York Times (Opinion),Left
Newsmax (News),Right
Newsmax (Opinion),Right
NewsNation,Center
Newsweek,Center
NPR (Online News),Lean Left
NPR (Opinion),Lean Left
Politico,Lean Left
Reason,Center
Reuters,Center
Slate,Left
The American Spectator,Right
The Atlantic,Left
The Blaze,Right
The Daily Caller,Right
The Daily Wire,Right
The Economist,Lean Left
The Epoch Times,Lean Right
The Federalist,Right
The Guardian,Left
The Hill,Center
The Intercept,Left
The New Yorker,Left
Time Magazine,Lean Left
USA TODAY,Lean Left
Vox,Left
Wall Street Journal (News),Center
Wall Street Journal (Opinion),Lean Right
Washington Examiner,Lean Right
Washington Free Beacon,Right
Washington Post,Lean Left
Washington Times,Lean Right
People,Lean Left
Mashable,Left
Refinery29,Left
CNBC,Lean Left
The Verge,Lean Left
Gizmodo,Lean Left
Vice,Left
TechCrunch,Center
New Republic,Left
Fox News,Right
WIRED,Left
CNN,Lean Left
